id	gene1	gene2	driver_score
1	BCAS4	BCAS3	0.14837377
2	BCAS4	BCAS3	0.03836287
3	ARFGEF2	SULF2	0.14202426
4	NCOA3	AL499605.1(36653),AL596327.1(198826)	0.044022053
5	ATXN7	AL355306.2(91741),AL499605.1(328037)	0.03897225
6	AC099850.1	VMP1	0.11412603
7	RPS6KB1	VMP1	0.1462817
8	BCAS3	SNTN(39526),AC104162.1(23281)	0.03854383
9	RSBN1	AP4B1-AS1	0.024670443
10	PREX1	LINC01754(44376),RPL35AP(21511)	0.0055150352
11	PPM1D	USP32	0.0
12	PAPOLA	AK7	0.14362116
13	SMARCA4	CARM1	0.14218625
14	MYO9B	FCHO1	0.016903354
15	LRP1B	PLXDC1	0.14361906
16	LRP1B	PLXDC1	0.16499558
17	SULF2	PRICKLE2	0.065045014
18	GATAD2B	NUP210L	0.08591716
19	FBRSL1	AC079031.2(16031),FBRSL1(10664)	0.054069348
20	TXLNG	SYAP1	0.14218625
21	RSBN1	VAV3	0.04264149
22	ATXN7	AL355306.2(133486),AL499605.1(286292)	0.030590428
23	BMERB1	ABCC1	0.15862495
24	AC140504.1	ABCC1	0.048311215
25	BPTF	PITPNC1	0.03500248
26	BEND7	PRPF18	0.044984832
27	SULF2	ZNF217	0.04257028
28	FOXA1	TTC6	0.031423517
29	AL499605.1(205547),AL596327.1(29932)	NCOA3	0.031411972
30	NDFIP2	BCAS2P3(107114),RBM26(37825)	0.027150203
31	TAF4	BRIP1	0.15307806
32	POFUT1	MTND3P22(35782),AC119751.3(204229)	0.011397387
33	DDX42	SLC2A10(4301),RN7SKP33(118685)	0.02081084
34	ATP1A1	ZFP64	0.14449911
35	TRIM37	RPS6KB1	0.043306187
36	DYNC1H1	DYNC1H1	0.14362116
37	GCN1	MSI1	0.14362116
38	MFSD4B	AMD1	0.06777649
39	MALRD1	PLXDC2	0.03229594
40	SAGE1	CT45A3	0.038599484
41	CDKN2A	MTAP	0.04141303
42	EGLN1	NORAD	0.06823961
