id	gene1	gene2	driver_score
1	TMPRSS2	ERG	0.03570754
2	TMPRSS2	ERG	0.07424226
3	TMPRSS2	ERG	0.03726556
4	ZFP91	AL162596.1	0.069813
5	ZFP91-CNTF	AL162596.1	0.081209
6	PTEN	PACS1	0.19818345
7	PDRG1	RUNX1T1	0.052182127
8	PEMT	SLC35B1	0.19818345
9	PTDSS1	AC118650.1(287860),HSPA8P13(232337)	0.07125782
10	PRPF4B	AL139095.4	0.060879394
11	TTLL9	AC068888.1	0.053304046
12	PDRG1	ARF3	0.074579686
13	PDRG1	AC073610.2	0.02176209
14	TMEM52B	TTLL9	0.01576054
15	AC068888.1	DCHS2(29769),AC110753.1(1919)	0.021886704
16	RNF165	AL139095.4	0.035517592
17	RUNX1T1	ARF3	0.020789485
18	RUNX1T1	AC073610.2	0.014598835
19	TIGD5	AC079340.1(2857),AC079340.2(25557)	0.012629786
20	AC067930.2	MAILR(12312),NPM1P52(2008)	0.0026136246
21	PGK1	TAF9B	0.0015290366
22	AL035414.1(21105),HHAT(2607)	RUNX1T1	0.0021721756
23	AL109935.1(7560),GPCPD1(990)	BOD1L1	0.037848834
24	R3HCC1L	AL391684.1	0.037848834
25	PTDSS1	SPRYD3	0.19818345
26	SSR1	RNF165	0.03320439
27	RACK1	RACK1	0.016025422
28	MALT1	AC104365.2(15462),RNU6-219P(31964)	0.03198016
29	GUSBP1	CDH12	0.037128482
30	TNS2	TTLL9	0.06409907
31	AL033523.1	PRPF4B	0.023132017
32	PCAT18	KCTD1	0.010841888
33	PCAT18	KCTD1	0.0
34	PRPF4B	CAGE1	0.0041312436
35	PARD3	SHOC2	0.042958654
36	ACSL1	AL035414.1(11626),HHAT(12086)	0.054571584
37	ATP6V1C1	ZNF623	0.06421951
38	NPY4R	YAP1(14413),AP000942.1(47223)	0.01559886
39	BPTF	KPNA2	0.18207313
40	MTCH2	MED15	0.018885145
41	SHLD2P1	RNLS	0.01559886
42	CA2	SLC6A17	0.018885145
43	ZNF586	AC010522.1	0.039250214
44	ZNF586	AC010522.1	0.18207313
45	PTDSS1	TMTC1(158268),AC023511.3(143315)	0.030918965
46	ZNF790-AS1	LINC01535	0.027459743
47	YBX1P10	NCOA5	0.03618868
48	COX7A2L	KCNG3	0.031349573
